# Time-averaged data for fix outN
# TimeStep Number-of-rows
# Row c_grN[1] c_grN[2] c_grN[3] c_grN[4] c_grN[5]
20000000 400
229 5.7125 0.890632 24.0877 0.945496 48.4431
230 5.7375 0.896715 24.399 0.938398 49.0946
231 5.7625 0.894562 24.7123 0.941739 49.7541
232 5.7875 0.903271 25.0313 0.935241 50.4148
233 5.8125 0.900023 25.352 0.931437 51.0785
234 5.8375 0.907886 25.6782 0.934406 51.7501
235 5.8625 0.908312 26.0074 0.930503 52.4246
236 5.8875 0.910368 26.3402 0.928027 53.103
237 5.9125 0.907039 26.6746 0.927655 53.787
238 5.9375 0.912221 27.0137 0.922987 54.4733
239 5.9625 0.914536 27.3566 0.926619 55.1681
240 5.9875 0.909666 27.7005 0.927216 55.8691
241 6.0125 0.922604 28.0522 0.92623 56.5753
242 6.0375 0.931811 28.4104 0.922471 57.2845
243 6.0625 0.936745 28.7734 0.926096 58.0024
244 6.0875 0.937537 29.1398 0.926067 58.7262
245 6.1125 0.94383 29.5117 0.922504 59.4532
246 6.1375 0.947347 29.888 0.929303 60.1915
247 6.1625 0.936704 30.2632 0.933539 60.9392
248 6.1875 0.943999 30.6443 0.927578 61.6882
249 6.2125 0.945201 31.029 0.931951 62.4468
250 6.2375 0.945719 31.417 0.936341 63.2151
251 6.2625 0.950623 31.8101 0.935856 63.9892
252 6.2875 0.9417 32.2027 0.937928 64.7713
253 6.3125 0.942299 32.5987 0.943286 65.564
254 6.3375 0.949553 33.0009 0.94103 66.3612
255 6.3625 0.959627 33.4105 0.945608 67.1685
256 6.3875 0.96833 33.8272 0.949597 67.9856
257 6.4125 0.968197 34.247 0.955421 68.8142
258 6.4375 0.967396 34.6698 0.955423 69.6493
259 6.4625 0.961867 35.0934 0.960471 70.4953
260 6.4875 0.962962 35.5208 0.961216 71.3486
261 6.5125 0.963867 35.9519 0.967836 72.2143
262 6.5375 0.969789 36.389 0.966156 73.0852
263 6.5625 0.966344 36.8279 0.973539 73.9695
264 6.5875 0.972911 37.2731 0.975003 74.8619
265 6.6125 0.975002 37.7227 0.973148 75.7593
266 6.6375 0.973009 38.1747 0.979445 76.6694
267 6.6625 0.97809 38.6326 0.977529 77.5846
268 6.6875 0.986714 39.0979 0.977051 78.5062
269 6.7125 0.990543 39.5686 0.984698 79.4419
270 6.7375 0.990966 40.0429 0.983942 80.3839
271 6.7625 0.996333 40.5234 0.989578 81.3384
272 6.7875 1.00314 41.0108 0.986974 82.2974
273 6.8125 1.00429 41.5023 0.995405 83.2718
274 6.8375 1.00694 41.9987 0.995482 84.2533
275 6.8625 1.00837 42.4995 0.995325 85.2419
276 6.8875 1.00394 43.0017 0.998862 86.2413
277 6.9125 1.00097 43.5061 0.99871 87.2478
278 6.9375 1.00155 44.0145 1.00436 88.2673
279 6.9625 1.00191 44.5266 1.00669 89.2965
280 6.9875 1.0133 45.0484 1.01037 90.337
281 7.0125 1.01216 45.5732 1.01121 91.3858
282 7.0375 1.01361 46.1026 1.01403 92.445
283 7.0625 1.01771 46.6379 1.01592 93.5137
284 7.0875 1.01256 47.1743 1.01922 94.5935
285 7.1125 1.01988 47.7184 1.01696 95.6786
286 7.1375 1.01792 48.2653 1.01764 96.772
287 7.1625 1.01469 48.8142 1.01777 97.8732
288 7.1875 1.0237 49.3719 1.02215 98.9869
289 7.2125 1.01683 49.9297 1.01992 100.106
290 7.2375 1.02344 50.495 1.026 101.239
291 7.2625 1.02814 51.0669 1.02547 102.38
292 7.2875 1.03561 51.6469 1.02518 103.528
293 7.3125 1.04591 52.2367 1.02455 104.684
294 7.3375 1.04725 52.8312 1.02763 105.851
295 7.3625 1.04759 53.4301 1.03052 107.029
296 7.3875 1.05166 54.0353 1.02981 108.214
297 7.4125 1.04334 54.6399 1.02707 109.404
298 7.4375 1.04238 55.2479 1.02549 110.601
299 7.4625 1.05509 55.8675 1.03236 111.813
300 7.4875 1.0536 56.4904 1.03203 113.034
301 7.5125 1.05911 57.1208 1.03463 114.265
