# Time-averaged data for fix outH
# TimeStep Number-of-rows
# Row c_grH[1] c_grH[2] c_grH[3] c_grH[4] c_grH[5]
20000000 400
308 7.6875 1.01546 61.6947 1.00696 123.348
309 7.7125 1.01445 62.3311 1.00781 124.612
310 7.7375 1.01471 62.9717 1.00584 125.882
311 7.7625 1.00963 63.6132 1.00715 127.162
312 7.7875 1.0137 64.2615 1.00593 128.449
313 7.8125 1.01154 64.9126 1.00639 129.744
314 7.8375 1.01181 65.568 1.00743 131.049
315 7.8625 1.01204 66.2278 1.00832 132.364
316 7.8875 1.01025 66.8906 1.00658 133.685
317 7.9125 1.01011 67.5575 1.00811 135.016
318 7.9375 1.00845 68.2275 1.00815 136.356
319 7.9625 1.01075 68.9033 1.00832 137.704
320 7.9875 1.00944 69.5824 1.0111 139.064
321 8.0125 1.00719 70.2643 1.00821 140.43
322 8.0375 1.01048 70.9527 1.01198 141.808
323 8.0625 1.00534 71.6419 1.00861 143.191
324 8.0875 1.00698 72.3364 1.00886 144.583
325 8.1125 1.0075 73.0357 1.01116 145.986
326 8.1375 1.00599 73.7382 1.01066 147.398
327 8.1625 1.0045 74.4439 1.00752 148.814
328 8.1875 1.00384 75.1536 1.0116 150.244
329 8.2125 1.00643 75.8694 1.01046 151.681
330 8.2375 1.01215 76.5936 1.01137 153.129
331 8.2625 1.00542 77.3175 1.01001 154.583
332 8.2875 1.00641 78.0464 1.01168 156.049
333 8.3125 1.00464 78.7784 1.01056 157.521
334 8.3375 1.00695 79.5166 1.00875 159
335 8.3625 1.0073 80.2594 1.00991 160.49
336 8.3875 1.00764 81.007 1.01122 161.99
337 8.4125 1.00677 81.7583 1.00906 163.496
338 8.4375 1.00336 82.5116 1.00943 165.012
339 8.4625 1.00427 83.27 1.00959 166.537
340 8.4875 1.00225 84.0314 1.01011 168.072
341 8.5125 1.0059 84.8001 1.00905 169.614
342 8.5375 1.00559 85.573 1.00818 171.164
343 8.5625 1.00413 86.3494 1.00776 172.722
344 8.5875 1.00314 87.1295 1.00964 174.292
345 8.6125 1.00541 87.9159 1.00842 175.87
346 8.6375 1.00796 88.7089 1.00651 177.454
347 8.6625 1.00722 89.506 1.00768 179.048
348 8.6875 1.0077 90.308 1.0067 180.651
349 8.7125 1.0064 91.1136 1.00822 182.265
350 8.7375 1.0057 91.9233 1.00689 183.886
351 8.7625 1.00514 92.7371 1.00924 185.52
352 8.7875 1.00681 93.557 1.00877 187.163
353 8.8125 1.00559 94.3805 1.00782 188.814
354 8.8375 1.00954 95.212 1.00733 190.473
355 8.8625 1.00644 96.0456 1.00632 192.14
356 8.8875 1.00754 96.8849 1.00751 193.819
357 8.9125 1.00568 97.7273 1.00702 195.506
358 8.9375 1.00632 98.575 1.00804 197.204
359 8.9625 1.0068 99.4278 1.00649 198.909
360 8.9875 1.00686 100.285 1.00842 200.627
361 9.0125 1.00924 101.15 1.00699 202.352
362 9.0375 1.00851 102.019 1.00519 204.084
363 9.0625 1.00789 102.891 1.00651 205.827
364 9.0875 1.00863 103.77 1.00628 207.58
365 9.1125 1.00937 104.654 1.00769 209.345
366 9.1375 1.00826 105.541 1.00682 211.118
367 9.1625 1.00898 106.435 1.00774 212.902
368 9.1875 1.00915 107.333 1.00613 214.693
369 9.2125 1.00992 108.237 1.00545 216.493
370 9.2375 1.00736 109.143 1.00627 218.304
371 9.2625 1.00926 110.056 1.00855 220.129
372 9.2875 1.00963 110.975 1.00458 221.957
373 9.3125 1.00991 111.898 1.00635 223.797
374 9.3375 1.00695 112.824 1.00701 225.649
375 9.3625 1.00667 113.755 1.00494 227.507
376 9.3875 1.00749 114.691 1.00697 229.379
377 9.4125 1.01097 115.636 1.00706 231.26
378 9.4375 1.00764 116.582 1.00672 233.152
379 9.4625 1.0074 117.533 1.00694 235.053
380 9.4875 1.01008 118.492 1.00769 236.966
381 9.5125 1.00929 119.455 1.00748 238.889
382 9.5375 1.00758 120.422 1.00712 240.821
383 9.5625 1.00929 121.395 1.0068 242.763
384 9.5875 1.00994 122.374 1.00619 244.713
385 9.6125 1.00887 123.357 1.00704 246.676
386 9.6375 1.0096 124.346 1.00766 248.65
387 9.6625 1.01206 125.342 1.00733 250.633
388 9.6875 1.01112 126.343 1.00546 252.624
389 9.7125 1.01154 127.349 1.00928 254.632
390 9.7375 1.01061 128.36 1.00765 256.647
391 9.7625 1.01165 129.376 1.0098 258.676
392 9.7875 1.01012 130.397 1.00751 260.712
393 9.8125 1.0093 131.422 1.00718 262.757
394 9.8375 1.00821 132.451 1.00803 264.815
395 9.8625 1.00912 133.486 1.00912 266.885
396 9.8875 1.00881 134.526 1.00591 268.959
397 9.9125 1.00706 135.569 1.00885 271.05
398 9.9375 1.00803 136.619 1.00809 273.149
399 9.9625 1.00643 137.672 1.00552 275.254
400 9.9875 1.0075 138.732 1.00657 277.372
