# Time-averaged data for fix outW
# TimeStep Number-of-rows
# Row c_grW[1] c_grW[2] c_grW[3] c_grW[4] c_grW[5] c_grW[6] c_grW[7]
20000000 400
163 4.0625 0.978031 17.7706 1.02356 8.44605 1.13068 17.1936
164 4.0875 0.976485 18.1147 1.0313 8.6274 1.12091 17.5882
165 4.1125 0.975198 18.4626 1.03935 8.81241 1.1102 17.9838
166 4.1375 0.974131 18.8143 1.04701 9.00105 1.09975 18.3805
167 4.1625 0.973178 19.1699 1.05457 9.19336 1.09028 18.7785
168 4.1875 0.97176 19.5293 1.06165 9.3893 1.08066 19.1778
169 4.2125 0.970766 19.8926 1.06806 9.58877 1.072 19.5786
170 4.2375 0.969606 20.2598 1.07443 9.79183 1.064 19.9812
171 4.2625 0.968301 20.6309 1.07904 9.99817 1.05713 20.3859
172 4.2875 0.967565 21.006 1.08565 10.2082 1.05105 20.793
173 4.3125 0.966425 21.3851 1.08976 10.4215 1.04596 21.2029
174 4.3375 0.964882 21.768 1.09375 10.6381 1.04139 21.6157
175 4.3625 0.963408 22.1547 1.09772 10.858 1.03802 22.0319
176 4.3875 0.961775 22.5452 1.10056 11.081 1.03512 22.4518
177 4.4125 0.960488 22.9396 1.10342 11.3071 1.03304 22.8756
178 4.4375 0.959646 23.3381 1.10537 11.5362 1.03108 23.3034
179 4.4625 0.958239 23.7406 1.10596 11.768 1.02966 23.7354
180 4.4875 0.957025 24.1471 1.10588 12.0023 1.02828 24.1717
181 4.5125 0.955835 24.5576 1.10638 12.2395 1.02721 24.6124
182 4.5375 0.955311 24.9724 1.10436 12.4788 1.02597 25.0575
183 4.5625 0.954312 25.3914 1.10343 12.7205 1.0252 25.5072
184 4.5875 0.954423 25.815 1.10216 12.9646 1.02427 25.9614
185 4.6125 0.954306 26.2432 1.09955 13.2109 1.02288 26.4199
186 4.6375 0.954116 26.676 1.09616 13.459 1.02152 26.8828
187 4.6625 0.954781 27.1138 1.09387 13.7092 1.01975 27.3499
188 4.6875 0.955768 27.5567 1.08975 13.9613 1.01834 27.8214
189 4.7125 0.956728 28.0048 1.08573 14.215 1.01671 28.2971
190 4.7375 0.958216 28.4584 1.08148 14.4705 1.01441 28.7768
191 4.7625 0.960017 28.9176 1.07624 14.7274 1.01232 29.2606
192 4.7875 0.961666 29.3825 1.07043 14.9856 1.00982 29.7483
193 4.8125 0.963584 29.8532 1.06602 15.2455 1.00705 30.2397
194 4.8375 0.966007 30.33 1.06061 15.5067 1.00456 30.7351
195 4.8625 0.968271 30.8128 1.05513 15.7693 1.00185 31.2342
196 4.8875 0.970879 31.3019 1.04855 16.0329 0.998743 31.7369
197 4.9125 0.97387 31.7976 1.04266 16.2977 0.995863 32.2432
198 4.9375 0.976661 32.2998 1.03706 16.5638 0.992753 32.7532
