# Time-averaged data for fix outO
# TimeStep Number-of-rows
# Row c_grO[1] c_grO[2] c_grO[3] c_grO[4] c_grO[5]
20000000 400
219 5.4625 1.04081 20.1302 1.0348 40.2831
220 5.4875 1.05243 20.4644 1.03694 40.9416
221 5.5125 1.05332 20.802 1.03408 41.6044
222 5.5375 1.05376 21.1427 1.03218 42.2719
223 5.5625 1.05596 21.4873 1.03577 42.9478
224 5.5875 1.06199 21.8369 1.03681 43.6305
225 5.6125 1.06556 22.1909 1.03694 44.3194
226 5.6375 1.05895 22.5458 1.03322 45.012
227 5.6625 1.06132 22.9046 1.0351 45.712
228 5.6875 1.05726 23.2653 1.03237 46.4163
229 5.7125 1.06037 23.6302 1.03474 47.1285
230 5.7375 1.0567 23.997 1.0358 47.8476
231 5.7625 1.0543 24.3662 1.03199 48.5704
232 5.7875 1.05004 24.7371 1.03504 49.3016
233 5.8125 1.05421 25.1127 1.03418 50.0385
234 5.8375 1.04684 25.4889 1.02924 50.7782
235 5.8625 1.046 25.868 1.02922 51.5243
236 5.8875 1.04475 26.2499 1.02571 52.2741
237 5.9125 1.03636 26.6319 1.02529 53.0301
238 5.9375 1.03878 27.0181 1.02852 53.7948
239 5.9625 1.03224 27.4051 1.02714 54.565
240 5.9875 1.03095 27.7949 1.02277 55.3383
241 6.0125 1.03413 28.1891 1.0253 56.12
242 6.0375 1.03054 28.5852 1.02207 56.9058
243 6.0625 1.0266 28.9831 1.02174 57.6978
244 6.0875 1.02377 29.3832 1.02192 58.4965
245 6.1125 1.02217 29.786 1.02462 59.3039
246 6.1375 1.01802 30.1903 1.01973 60.1141
247 6.1625 1.02052 30.599 1.01899 60.9303
248 6.1875 1.01836 31.0102 1.01864 61.7528
249 6.2125 1.016 31.4237 1.01657 62.5803
250 6.2375 1.00921 31.8378 1.01802 63.4156
251 6.2625 1.0118 32.2562 1.01561 64.2557
252 6.2875 1.0102 32.6774 1.01819 65.1046
253 6.3125 1.00788 33.1009 1.01852 65.9606
254 6.3375 1.00456 33.5264 1.01833 66.8233
255 6.3625 1.00205 33.9541 1.01949 67.6937
256 6.3875 1.00085 34.3848 1.01774 68.5695
257 6.4125 1.00352 34.8199 1.01537 69.45
258 6.4375 1.00398 35.2587 1.01477 70.337
259 6.4625 0.99806 35.6983 1.01178 71.2282
260 6.4875 1.00358 36.1437 1.01154 72.1261
261 6.5125 0.99911 36.5905 1.00746 73.0273
262 6.5375 1.00418 37.0431 1.00874 73.9366
263 6.5625 0.998894 37.4968 1.00794 74.8521
264 6.5875 0.9975 37.9533 1.00709 75.7738
265 6.6125 0.999275 38.414 1.00581 76.7014
266 6.6375 0.998547 38.8779 1.00838 77.6384
267 6.6625 0.999736 39.3459 1.00413 78.5784
268 6.6875 1.00034 39.8177 1.00612 79.5275
269 6.7125 0.999303 40.2925 1.00737 80.4848
270 6.7375 0.994032 40.7684 1.00738 81.4492
271 6.7625 0.998334 41.2498 1.0051 82.4187
272 6.7875 0.991179 41.7314 1.00381 83.394
273 6.8125 0.994404 42.218 1.00195 84.3748
274 6.8375 0.993505 42.7079 1.00135 85.3621
275 6.8625 0.993357 43.2012 1.00102 86.3564
276 6.8875 0.994969 43.6989 1.00361 87.3605
277 6.9125 0.987909 44.1967 1.00452 88.3728
278 6.9375 0.989895 44.6991 1.00472 89.3927
279 6.9625 0.988873 45.2046 1.00119 90.4163
280 6.9875 0.993366 45.7161 1.00405 91.4503
281 7.0125 0.986537 46.2277 1.00133 92.4888
282 7.0375 0.994024 46.7469 0.99793 93.5312
283 7.0625 0.992689 47.269 1.00108 94.5843
284 7.0875 0.989743 47.7933 0.99904 95.6428
285 7.1125 0.989695 48.3213 0.999537 96.7092
286 7.1375 0.989638 48.8529 0.998869 97.7824
287 7.1625 0.99326 49.3903 1.0019 98.8665
288 7.1875 0.993925 49.9318 0.996779 99.9525
289 7.2125 0.991886 50.4759 0.998191 101.048
290 7.2375 0.992558 51.0242 1.00067 102.153
291 7.2625 0.994349 51.5772 0.996573 103.262
292 7.2875 0.994685 52.1343 0.998048 104.38
293 7.3125 0.991415 52.6933 0.997236 105.504
294 7.3375 0.989413 53.2551 0.998486 106.638
295 7.3625 0.993307 53.8229 0.996668 107.778
296 7.3875 0.994488 54.3952 1.0013 108.93
297 7.4125 0.998966 54.9741 0.998209 110.087
298 7.4375 0.99575 55.5549 0.99871 111.252
299 7.4625 0.994939 56.1392 0.998336 112.425
300 7.4875 0.993816 56.7268 0.996442 113.603
301 7.5125 0.990896 57.3165 0.997474 114.79
302 7.5375 0.998071 57.9145 0.994117 115.981
303 7.5625 0.994994 58.5146 0.996762 117.184
304 7.5875 0.998648 59.1208 0.994295 118.391
305 7.6125 0.997201 59.7302 0.997819 119.611
306 7.6375 1.00341 60.3475 0.997637 120.838
307 7.6625 0.99891 60.966 0.997091 122.073
308 7.6875 1.00448 61.592 1.00068 123.32
309 7.7125 0.997563 62.2177 0.998146 124.572
310 7.7375 0.998254 62.848 0.998442 125.833
311 7.7625 1.00061 63.4838 1.00031 127.104
312 7.7875 0.995605 64.1205 1.00064 128.384
313 7.8125 0.999987 64.7641 0.999727 129.671
314 7.8375 1.00147 65.4129 1.00114 130.968
315 7.8625 1.00555 66.0684 1.00179 132.274
316 7.8875 1.00782 66.7296 1.00162 133.588
317 7.9125 1.00434 67.3927 1.00244 134.912
318 7.9375 1.00147 68.058 1.00285 136.245
319 7.9625 1.00389 68.7292 1.00114 137.583
320 7.9875 1.00275 69.4039 1.00345 138.934
321 8.0125 1.00622 70.0851 1.00323 140.292
322 8.0375 1.00609 70.7705 1.00444 141.661
323 8.0625 1.00172 71.4572 1.00324 143.036
324 8.0875 1.00485 72.1503 1.00315 144.42
325 8.1125 1.00365 72.8468 1.00489 145.815
326 8.1375 1.00819 73.5509 1.00473 147.218
327 8.1625 1.01087 74.2611 1.00366 148.628
328 8.1875 1.01071 74.9756 1.00444 150.048
329 8.2125 1.01636 75.6985 1.00273 151.475
330 8.2375 1.01948 76.428 1.00319 152.91
