# Time-averaged data for fix outC
# TimeStep Number-of-rows
# Row c_grC[1] c_grC[2] c_grC[3] c_grC[4] c_grC[5]
20000000 400
279 6.9625 1.05302 44.8489 1.03485 89.5265
280 6.9875 1.04155 45.3852 1.03841 90.5958
281 7.0125 1.0532 45.9314 1.03797 91.6723
282 7.0375 1.0545 46.4821 1.04147 92.7602
283 7.0625 1.04793 47.0333 1.04042 93.8547
284 7.0875 1.04379 47.5862 1.04614 94.963
285 7.1125 1.0456 48.144 1.03864 96.0712
286 7.1375 1.04419 48.705 1.04148 97.1902
287 7.1625 1.0419 49.2687 1.03889 98.3143
288 7.1875 1.04782 49.8395 1.03738 99.4446
289 7.2125 1.03991 50.41 1.04242 100.588
290 7.2375 1.03668 50.9826 1.03749 101.734
291 7.2625 1.03976 51.5609 1.03919 102.89
292 7.2875 1.03907 52.1429 1.03736 104.052
293 7.3125 1.03683 52.7275 1.04152 105.227
294 7.3375 1.03491 53.3151 1.04073 106.409
295 7.3625 1.03534 53.9069 1.03278 107.59
296 7.3875 1.03448 54.5023 1.03645 108.783
297 7.4125 1.03235 55.1005 1.03395 109.981
298 7.4375 1.0374 55.7056 1.04114 111.195
299 7.4625 1.03095 56.3111 1.03163 112.407
300 7.4875 1.02274 56.9157 1.03331 113.629
301 7.5125 1.02187 57.5239 1.0319 114.857
302 7.5375 1.01545 58.1323 1.02834 116.089
303 7.5625 1.02054 58.7478 1.03099 117.333
304 7.5875 1.02029 59.3672 1.02682 118.58
305 7.6125 1.01523 59.9876 1.0233 119.83
306 7.6375 1.01284 60.6106 1.0244 121.091
307 7.6625 1.01509 61.2391 1.0222 122.357
308 7.6875 1.01566 61.8721 1.02052 123.629
309 7.7125 1.01955 62.5116 1.01633 124.904
310 7.7375 1.01822 63.1545 1.02022 126.192
311 7.7625 1.0143 63.799 1.01535 127.482
312 7.7875 1.01764 64.4498 1.01507 128.781
313 7.8125 1.01216 65.1013 1.01458 130.087
314 7.8375 1.00457 65.752 1.0113 131.397
315 7.8625 1.00733 66.4087 1.00759 132.71
316 7.8875 0.998292 67.0636 1.00858 134.034
317 7.9125 1.01221 67.7319 1.00821 135.365
318 7.9375 1.01211 68.4044 1.0094 136.706
319 7.9625 1.00722 69.0778 1.01477 138.063
320 7.9875 1.0079 69.7559 1.0077 139.419
321 8.0125 1.01118 70.4405 1.00831 140.785
322 8.0375 1.01171 71.1297 1.00692 142.157
323 8.0625 1.00562 71.8191 1.008 143.539
324 8.0875 1.00256 72.5106 1.01015 144.932
325 8.1125 1.00839 73.2104 1.0091 146.333
326 8.1375 1.01246 73.9175 1.00667 147.739
327 8.1625 1.01 74.6271 1.00505 149.151
328 8.1875 1.01459 75.3443 1.00471 150.571
329 8.2125 1.01677 76.0675 1.00828 152.006
