# Time-averaged data for fix outC
# TimeStep Number-of-rows
# Row c_grC[1] c_grC[2] c_grC[3] c_grC[4] c_grC[5]
20000000 400
266 6.6375 1.02062 41.0639 1.01181 81.6603
267 6.6625 1.01205 41.5376 1.01312 82.6088
268 6.6875 1.01041 42.0142 1.0171 83.5682
269 6.7125 1.01167 42.4949 1.01671 84.5344
270 6.7375 0.997975 42.9726 1.01522 85.5063
271 6.7625 0.991605 43.4508 1.01145 86.4819
272 6.7875 0.990448 43.932 1.01612 87.4692
273 6.8125 0.990966 44.417 1.00914 88.457
274 6.8375 0.986127 44.9032 1.01571 89.4585
275 6.8625 0.991157 45.3954 1.0129 90.4646
276 6.8875 0.995149 45.8932 1.01209 91.4772
277 6.9125 0.99104 46.3926 1.0122 92.4973
278 6.9375 0.989112 46.8946 1.01112 93.5236
279 6.9625 0.979449 47.3953 1.00909 94.5553
280 6.9875 0.986728 47.9034 1.0103 95.5957
281 7.0125 0.979136 48.4111 1.01118 96.6445
282 7.0375 0.981344 48.9237 1.00927 97.6987
283 7.0625 0.985189 49.4419 1.00254 98.7534
284 7.0875 0.977892 49.9599 1.00386 99.8169
285 7.1125 0.979999 50.4827 1.00657 100.891
286 7.1375 0.972318 51.005 1.00645 101.972
287 7.1625 0.976291 51.5332 0.999766 103.054
288 7.1875 0.982902 52.0687 0.996921 104.14
289 7.2125 0.982398 52.6076 0.994411 105.231
290 7.2375 0.980493 53.1492 0.999085 106.335
291 7.2625 0.98411 53.6966 0.99794 107.445
292 7.2875 0.98744 54.2496 0.995609 108.56
293 7.3125 0.984362 54.8047 0.996354 109.684
294 7.3375 0.981364 55.3618 0.992412 110.811
295 7.3625 0.989021 55.9272 0.996731 111.95
296 7.3875 0.986534 56.495 0.993202 113.094
297 7.4125 0.982169 57.064 0.992266 114.243
298 7.4375 0.987535 57.6401 0.991975 115.401
299 7.4625 0.98459 58.2183 0.993492 116.568
300 7.4875 0.979802 58.7976 0.996624 117.746
301 7.5125 0.981214 59.3816 0.994299 118.93
302 7.5375 0.980266 59.9689 0.997074 120.124
303 7.5625 0.985634 60.5633 0.987147 121.315
304 7.5875 0.996519 61.1683 0.99105 122.518
305 7.6125 0.997127 61.7777 0.993736 123.733
306 7.6375 0.995682 62.3901 0.991017 124.952
307 7.6625 0.995131 63.0063 0.992914 126.182
308 7.6875 1.00199 63.6307 0.990206 127.416
309 7.7125 0.994155 64.2543 0.993418 128.662
310 7.7375 1.00003 64.8857 0.992695 129.916
311 7.7625 0.997929 65.5198 0.99082 131.175
312 7.7875 0.998467 66.1584 0.991227 132.443
313 7.8125 1.00064 66.8024 0.990118 133.717
314 7.8375 1.00366 67.4526 0.988018 134.997
315 7.8625 1.00662 68.1088 0.989848 136.288
316 7.8875 1.00819 68.7702 0.991151 137.588
317 7.9125 1.00088 69.431 0.988779 138.894
318 7.9375 0.993416 70.0911 0.995007 140.216
319 7.9625 1.00534 70.7632 0.992983 141.544
320 7.9875 1.00353 71.4384 0.994346 142.882
321 8.0125 0.999809 72.1153 0.992501 144.226
322 8.0375 0.998443 72.7955 0.992656 145.578
323 8.0625 1.0016 73.4821 0.995761 146.944
324 8.0875 0.995298 74.1686 0.994997 148.316
325 8.1125 1.00499 74.8661 0.995405 149.698
326 8.1375 1.00378 75.567 0.998728 151.093
327 8.1625 1.0052 76.2733 0.996729 152.493
328 8.1875 1.00251 76.982 0.996894 153.903
329 8.2125 0.994995 77.6897 1.00131 155.327
330 8.2375 0.996288 78.4026 1.00115 156.76
331 8.2625 1.00221 79.1241 0.999842 158.2
332 8.2875 0.996073 79.8455 1.00204 159.651
333 8.3125 1.00055 80.5746 0.999392 161.107
334 8.3375 1.0087 81.314 0.998267 162.571
335 8.3625 1.0056 82.0556 0.995972 164.04
336 8.3875 1.00562 82.8017 0.999873 165.524
337 8.4125 1.00267 83.55 1.00372 167.022
338 8.4375 0.996982 84.2984 1.00383 168.529
339 8.4625 1.00661 85.0586 1.00097 170.041
340 8.4875 1.0013 85.8193 1.00608 171.569
341 8.5125 1.00566 86.5878 0.99936 173.097
342 8.5375 1.00432 87.3597 1.00235 174.638
343 8.5625 1.00481 88.1366 1.00856 176.197
344 8.5875 1.00053 88.9147 1.00512 177.761
345 8.6125 1.00275 89.699 1.00681 179.336
346 8.6375 0.999933 90.4857 1.00348 180.915
347 8.6625 1.0042 91.2804 1.00222 182.501
348 8.6875 1.00279 92.0785 1.00331 184.098
349 8.7125 0.999631 92.8787 1.00184 185.702
350 8.7375 0.999962 93.6837 1.00367 187.318
351 8.7625 0.998982 94.4926 1.00244 188.941
352 8.7875 0.99944 95.3065 1.0071 190.581
353 8.8125 0.997416 96.1233 1.00231 192.223
354 8.8375 0.99702 96.9445 1.00591 193.88
355 8.8625 0.997651 97.7708 1.00195 195.54
356 8.8875 0.998607 98.6026 1.00492 197.214
357 8.9125 0.994188 99.4354 1.00383 198.896
358 8.9375 0.994451 100.273 1.00685 200.592
359 8.9625 0.998751 101.119 1.00423 202.293
360 8.9875 1.00644 101.976 1.00137 203.999
361 9.0125 0.998995 102.832 1.00514 205.721
362 9.0375 1.00314 103.696 0.999351 207.443
363 9.0625 0.998001 104.56 0.998835 209.173
364 9.0875 0.999608 105.431 1.00076 210.916
365 9.1125 0.998699 106.306 0.998299 212.664
366 9.1375 0.995008 107.182 0.999974 214.425
367 9.1625 0.99948 108.066 1.00258 216.2
368 9.1875 0.998362 108.955 1.00089 217.982
369 9.2125 0.995683 109.846 0.999431 219.771
370 9.2375 0.998219 110.745 0.999594 221.57
371 9.2625 1.00103 111.65 1.00112 223.382
372 9.2875 1.00031 112.56 0.994981 225.192
373 9.3125 0.996671 113.472 0.999949 227.021
374 9.3375 0.996953 114.388 0.997701 228.855
375 9.3625 0.996872 115.31 0.99826 230.701
376 9.3875 0.998241 116.237 0.996329 232.553
377 9.4125 1.00045 117.172 0.99788 234.417
378 9.4375 1.00041 118.112 0.995414 236.287
379 9.4625 0.997582 119.054 0.993778 238.164
380 9.4875 0.991515 119.995 0.99687 240.056
381 9.5125 0.990424 120.94 0.996756 241.959
382 9.5375 0.995309 121.895 0.996685 243.871
383 9.5625 0.991314 122.851 0.998716 245.797
384 9.5875 0.993667 123.814 0.998275 247.732
385 9.6125 0.987684 124.776 0.994472 249.67
386 9.6375 0.987844 125.744 0.996285 251.622
387 9.6625 0.990255 126.719 0.99478 253.581
388 9.6875 0.999388 127.708 0.994222 255.549
389 9.7125 0.996758 128.699 0.990257 257.519
390 9.7375 0.998357 129.698 0.993697 259.506
391 9.7625 0.993151 130.696 0.996044 261.508
392 9.7875 0.998131 131.704 0.993533 263.516
393 9.8125 1.0031 132.723 0.99105 265.528
394 9.8375 1.00283 133.746 0.990573 267.55
395 9.8625 1.00107 134.773 0.996659 269.595
396 9.8875 0.996594 135.8 0.993214 271.643
397 9.9125 1.00245 136.839 0.997 273.709
398 9.9375 0.99917 137.88 0.995697 275.782
399 9.9625 1.00406 138.93 1.00138 277.879
400 9.9875 1.00343 139.986 0.998538 279.979
