# Time-averaged data for fix outO
# TimeStep Number-of-rows
# Row c_grO[1] c_grO[2] c_grO[3] c_grO[4] c_grO[5]
20000000 400
207 5.1625 0.989259 18.7908 1.01647 37.8536
208 5.1875 0.989041 19.0715 1.01549 38.43
209 5.2125 0.996599 19.3571 1.01715 39.0129
210 5.2375 0.989511 19.6433 1.01035 39.5974
211 5.2625 0.989522 19.9323 1.01556 40.1906
212 5.2875 0.991405 20.2246 1.01459 40.7888
213 5.3125 0.988531 20.5188 1.00579 41.3875
214 5.3375 0.99175 20.8167 1.00696 41.9926
215 5.3625 0.987495 21.1162 1.00546 42.6024
216 5.3875 0.991224 21.4196 1.00754 43.2192
217 5.4125 0.994138 21.7267 1.00616 43.8408
218 5.4375 0.998657 22.0381 1.00583 44.468
219 5.4625 0.997696 22.352 1.0047 45.1003
220 5.4875 1.00443 22.671 1.00554 45.7389
221 5.5125 1.00563 22.9932 1.00826 46.3851
222 5.5375 1.00721 23.3189 1.00709 47.0365
223 5.5625 1.00803 23.6479 1.00375 47.6915
224 5.5875 1.00366 23.9783 1.00127 48.3508
225 5.6125 1.00656 24.3126 0.998149 49.0139
226 5.6375 1.00726 24.6502 1.00176 49.6854
227 5.6625 1.01576 24.9937 0.998407 50.3606
228 5.6875 1.01947 25.3415 0.996725 51.0406
229 5.7125 1.02271 25.6934 0.996066 51.7261
230 5.7375 1.02001 26.0475 0.997209 52.4185
231 5.7625 1.02054 26.4049 0.998938 53.1181
232 5.7875 1.02146 26.7657 0.993427 53.8199
233 5.8125 1.02302 27.1301 0.996797 54.5302
234 5.8375 1.02343 27.4979 0.997944 55.2474
235 5.8625 1.0286 27.8707 0.994797 55.9685
236 5.8875 1.03016 28.2473 0.994748 56.6957
237 5.9125 1.03036 28.6271 0.993559 57.4283
238 5.9375 1.03092 29.0104 0.994258 58.1675
239 5.9625 1.04193 29.401 0.993663 58.9126
240 5.9875 1.04071 29.7944 0.994306 59.6644
241 6.0125 1.03644 30.1896 0.994728 60.4228
242 6.0375 1.0393 30.5891 0.993547 61.1867
243 6.0625 1.04046 30.9923 0.995329 61.9582
244 6.0875 1.0397 31.3986 0.995225 62.7361
245 6.1125 1.03989 31.8084 0.993312 63.5188
246 6.1375 1.03496 32.2195 0.991609 64.3066
247 6.1625 1.0347 32.6339 0.986869 65.097
248 6.1875 1.03863 33.0532 0.989054 65.8957
249 6.2125 1.0372 33.4753 0.988892 66.7006
250 6.2375 1.03271 33.899 0.988664 67.5119
251 6.2625 1.03226 34.326 0.991562 68.3321
252 6.2875 1.02672 34.754 0.992669 69.1598
253 6.3125 1.03131 35.1874 0.995454 69.9964
254 6.3375 1.02391 35.621 0.995433 70.8396
255 6.3625 1.02397 36.0582 1.00004 71.6934
256 6.3875 1.0177 36.496 0.996142 72.5506
257 6.4125 1.01404 36.9357 0.995726 73.4142
258 6.4375 1.01258 37.3783 0.998058 74.2865
259 6.4625 1.00667 37.8216 1.00029 75.1676
260 6.4875 1.00396 38.2672 1.00089 76.0561
261 6.5125 1.01069 38.7193 0.997645 76.9485
262 6.5375 1.00434 39.1719 1.00043 77.8503
263 6.5625 1.00095 39.6265 1.00536 78.7634
264 6.5875 0.99915 40.0837 1.00508 79.6833
265 6.6125 0.993322 40.5417 1.00476 80.6099
266 6.6375 0.990993 41.0022 1.00864 81.5471
267 6.6625 0.991062 41.4661 1.00784 82.4907
268 6.6875 0.991952 41.9339 1.00431 83.438
269 6.7125 0.989812 42.4042 1.00527 84.3933
270 6.7375 0.986115 42.8763 1.0095 85.3598
271 6.7625 0.983923 43.3508 1.00101 86.3253
272 6.7875 0.981175 43.8275 1.00452 87.3013
273 6.8125 0.978283 44.3062 1.00494 88.285
274 6.8375 0.977085 44.788 1.00894 89.2799
275 6.8625 0.97454 45.2719 1.00779 90.2808
276 6.8875 0.971911 45.7581 1.00783 91.2892
277 6.9125 0.96722 46.2455 1.00897 92.306
278 6.9375 0.968316 46.737 1.01032 93.3316
279 6.9625 0.966715 47.2312 1.00669 94.3608
280 6.9875 0.965413 47.7282 1.00735 95.3981
281 7.0125 0.967258 48.2298 1.0045 96.44
282 7.0375 0.964112 48.7334 1.00685 97.4917
283 7.0625 0.966092 49.2415 1.00412 98.548
284 7.0875 0.964612 49.7525 1.00043 99.6079
285 7.1125 0.968185 50.269 1.00296 100.678
286 7.1375 0.966059 50.788 1.00191 101.755
287 7.1625 0.965514 51.3103 0.999942 102.836
288 7.1875 0.968855 51.8381 1.00047 103.927
289 7.2125 0.967828 52.3691 0.999889 105.024
290 7.2375 0.974012 52.9071 0.993771 106.121
291 7.2625 0.977404 53.4507 0.995749 107.229
292 7.2875 0.983904 54.0018 0.995903 108.345
293 7.3125 0.973424 54.5507 0.995882 109.468
294 7.3375 0.979506 55.1068 0.99475 110.597
295 7.3625 0.981608 55.6679 0.993646 111.733
296 7.3875 0.9812 56.2326 0.993784 112.877
297 7.4125 0.984987 56.8033 0.992822 114.028
298 7.4375 0.987805 57.3796 0.992637 115.186
299 7.4625 0.987706 57.9596 0.989105 116.348
300 7.4875 0.990644 58.5453 0.989934 117.518
301 7.5125 0.991989 59.1357 0.992593 118.7
302 7.5375 0.995626 59.7322 0.993114 119.89
303 7.5625 1.00005 60.3353 0.993234 121.088
304 7.5875 1.00629 60.9462 0.992171 122.292
305 7.6125 1.00255 61.5589 0.990721 123.503
306 7.6375 1.00038 62.1743 0.99362 124.726
307 7.6625 1.00201 62.7947 0.990954 125.953
308 7.6875 1.00252 63.4195 0.992362 127.19
309 7.7125 1.00624 64.0507 0.992302 128.435
310 7.7375 1.00825 64.6872 0.992907 129.688
311 7.7625 1.00936 65.3286 0.993225 130.951
312 7.7875 1.00935 65.9741 0.993782 132.222
313 7.8125 1.01178 66.6253 0.993747 133.501
314 7.8375 1.01393 67.2821 0.996854 134.792
315 7.8625 1.01353 67.9428 0.99673 136.092
316 7.8875 1.01068 68.6059 0.995373 137.398
317 7.9125 1.01614 69.2768 0.997609 138.715
318 7.9375 1.02006 69.9545 0.995959 140.039
319 7.9625 1.01805 70.6352 0.997369 141.372
320 7.9875 1.02073 71.3219 0.999587 142.717
321 8.0125 1.01845 72.0114 0.996986 144.067
322 8.0375 1.01376 72.7021 1.00259 145.433
323 8.0625 1.01864 73.4003 1.00376 146.81
324 8.0875 1.01579 74.101 0.998645 148.187
325 8.1125 1.0153 74.8056 1.00151 149.577
326 8.1375 1.01706 75.5159 0.997437 150.97
327 8.1625 1.01462 76.2287 1.00144 152.378
328 8.1875 1.01716 76.9478 1.00244 153.795
329 8.2125 1.01402 77.669 1.0038 155.223
330 8.2375 1.01942 78.3985 1.00159 156.656
331 8.2625 1.01719 79.1308 1.00647 158.105
332 8.2875 1.01388 79.8651 1.00487 159.561
333 8.3125 1.01622 80.6056 1.00604 161.027
334 8.3375 1.01445 81.3492 1.00857 162.506
335 8.3625 1.01224 82.0957 1.0076 163.992
336 8.3875 1.01364 82.8477 1.01035 165.491
337 8.4125 1.01107 83.6023 1.00941 166.998
338 8.4375 1.01027 84.3607 1.00909 168.513
339 8.4625 1.00703 85.1213 1.00863 170.036
340 8.4875 1.01199 85.89 1.0088 171.569
341 8.5125 1.01068 86.6623 1.00915 173.111
342 8.5375 1.01084 87.4393 1.00881 174.662
343 8.5625 1.00882 88.2193 1.01101 176.225
344 8.5875 1.00842 89.0035 1.01077 177.798
345 8.6125 1.01189 89.795 1.01003 179.378
346 8.6375 1.00715 90.5874 1.00859 180.965
347 8.6625 1.00517 91.3828 1.00719 182.559
348 8.6875 1.00698 92.1843 1.00864 184.164
349 8.7125 1.0039 92.9879 1.00892 185.779
350 8.7375 1.00683 93.7984 1.00733 187.401
351 8.7625 1.00393 94.6113 1.00843 189.034
352 8.7875 1.00555 95.4302 1.00894 190.678
353 8.8125 1.00696 96.2548 1.00745 192.328
354 8.8375 1.00184 97.0799 1.00582 193.985
355 8.8625 0.997509 97.9062 1.00567 195.651
356 8.8875 1.00458 98.7429 1.00711 197.328
357 8.9125 1.00774 99.5871 1.00565 199.013
358 8.9375 1.00236 100.431 1.00597 200.708
359 8.9625 1.00034 101.279 1.00722 202.414
360 8.9875 1.00051 102.131 1.00571 204.128
361 9.0125 0.994839 102.983 1.0058 205.851
362 9.0375 0.996378 103.841 1.00585 207.583
363 9.0625 0.996616 104.705 1.00394 209.322
364 9.0875 0.9943 105.57 1.00202 211.068
365 9.1125 0.993717 106.441 1.00273 212.824
366 9.1375 0.995388 107.317 1.00153 214.587
367 9.1625 0.998077 108.201 0.998798 216.356
368 9.1875 0.991147 109.083 1.00034 218.137
369 9.2125 0.992711 109.971 1.00172 219.93
370 9.2375 0.988459 110.861 0.999987 221.73
371 9.2625 0.99221 111.759 0.999781 223.539
372 9.2875 0.993277 112.662 1.00226 225.362
373 9.3125 0.99674 113.574 1.00215 227.195
374 9.3375 0.995548 114.489 1.0024 229.038
375 9.3625 0.989738 115.404 1.001 230.889
376 9.3875 0.990338 116.324 1.00086 232.749
377 9.4125 0.991667 117.251 1.00064 234.619
378 9.4375 0.993878 118.184 0.99658 236.491
379 9.4625 0.997336 119.126 0.999871 238.379
380 9.4875 0.997073 120.072 0.999551 240.277
