# Time-averaged data for fix outN
# TimeStep Number-of-rows
# Row c_grN[1] c_grN[2] c_grN[3] c_grN[4] c_grN[5]
20000000 400
192 4.7875 1.11128 15.1035 1.00305 30.0854
193 4.8125 1.11162 15.375 0.998947 30.5734
194 4.8375 1.11821 15.651 1.00507 31.0694
195 4.8625 1.11484 15.929 0.999635 31.5679
196 4.8875 1.10851 16.2082 0.998982 32.0712
197 4.9125 1.10051 16.4883 1.00072 32.5806
198 4.9375 1.1125 16.7743 0.996998 33.0932
199 4.9625 1.10057 17.0601 0.99645 33.6107
200 4.9875 1.09647 17.3477 1.00178 34.1363
201 5.0125 1.10137 17.6395 0.997523 34.6649
202 5.0375 1.09461 17.9325 1.0015 35.2009
203 5.0625 1.09221 18.2277 1.00436 35.7438
204 5.0875 1.08326 18.5233 1.00475 36.2923
205 5.1125 1.07367 18.8193 1.00493 36.8463
206 5.1375 1.06885 19.1168 1.00937 37.4082
207 5.1625 1.05815 19.4142 1.01452 37.9784
208 5.1875 1.05702 19.7141 1.01686 38.5556
209 5.2125 1.04577 20.0138 1.01178 39.1354
210 5.2375 1.03958 20.3145 1.01718 39.7239
211 5.2625 1.03407 20.6165 1.01556 40.317
212 5.2875 1.0261 20.919 1.01729 40.9169
213 5.3125 1.02881 21.2252 1.00424 41.5147
214 5.3375 1.01385 21.5298 1.01449 42.1242
215 5.3625 0.998567 21.8326 1.01777 42.7415
216 5.3875 0.986838 22.1346 1.01764 43.3645
217 5.4125 0.980656 22.4376 1.02131 43.9955
218 5.4375 0.967249 22.7392 1.01691 44.6296
219 5.4625 0.967251 23.0435 1.01695 45.2696
220 5.4875 0.952852 23.3461 1.01738 45.9158
221 5.5125 0.946851 23.6495 1.02349 46.5717
222 5.5375 0.940825 23.9538 1.01244 47.2265
223 5.5625 0.936295 24.2593 1.01733 47.8904
224 5.5875 0.923364 24.5633 1.01717 48.5602
225 5.6125 0.912959 24.8665 1.01792 49.2364
226 5.6375 0.911295 25.172 1.01906 49.9195
227 5.6625 0.900648 25.4765 1.02335 50.6116
228 5.6875 0.903184 25.7846 1.0104 51.3009
229 5.7125 0.899394 26.0941 1.01581 52
230 5.7375 0.903628 26.4078 1.01463 52.7045
231 5.7625 0.900474 26.7231 1.01153 53.4129
232 5.7875 0.897213 27.04 1.00603 54.1236
233 5.8125 0.89382 27.3585 1.0024 54.8379
234 5.8375 0.898202 27.6812 0.998974 55.5558
235 5.8625 0.898049 28.0067 0.996025 56.2778
236 5.8875 0.900232 28.3358 0.992453 57.0034
237 5.9125 0.901383 28.6681 0.985957 57.7303
238 5.9375 0.905617 29.0048 0.989298 58.4659
239 5.9625 0.907775 29.3451 0.978839 59.1998
240 5.9875 0.910883 29.6895 0.97748 59.9389
241 6.0125 0.908937 30.036 0.974582 60.682
242 6.0375 0.909841 30.3857 0.972706 61.4298
243 6.0625 0.911448 30.739 0.965126 62.1779
244 6.0875 0.922363 31.0994 0.96747 62.9341
245 6.1125 0.920924 31.4623 0.962129 63.6923
246 6.1375 0.928126 31.831 0.959946 64.4549
247 6.1625 0.934432 32.2052 0.95914 65.2231
248 6.1875 0.947219 32.5876 0.956576 65.9955
249 6.2125 0.942559 32.9712 0.952578 66.7709
250 6.2375 0.933593 33.3543 0.952476 67.5525
251 6.2625 0.943116 33.7443 0.952751 68.3406
252 6.2875 0.954257 34.1421 0.953537 69.1356
253 6.3125 0.963372 34.547 0.952002 69.9357
254 6.3375 0.972042 34.9587 0.955001 70.7447
255 6.3625 0.977911 35.3761 0.951218 71.5568
256 6.3875 0.987098 35.8008 0.955332 72.3789
257 6.4125 0.990831 36.2305 0.956055 73.2081
258 6.4375 0.988013 36.6623 0.954399 74.0422
259 6.4625 0.99378 37.1 0.962673 74.8902
260 6.4875 0.991599 37.5401 0.96107 75.7433
261 6.5125 1.00375 37.989 0.961307 76.6032
262 6.5375 1.00521 38.4421 0.965806 77.4738
263 6.5625 1.00752 38.8996 0.970743 78.3555
264 6.5875 1.01014 39.3619 0.973047 79.2461
265 6.6125 1.00482 39.8252 0.974812 80.1451
266 6.6375 1.00815 40.2936 0.972105 81.0484
267 6.6625 1.00694 40.7649 0.979596 81.9655
268 6.6875 1.01395 41.2431 0.982675 82.8924
269 6.7125 1.0215 41.7285 0.984408 83.8279
270 6.7375 1.02786 42.2205 0.985373 84.7712
271 6.7625 1.03921 42.7217 0.988096 85.7243
272 6.7875 1.0379 43.226 0.988163 86.6844
273 6.8125 1.04455 43.7372 0.987135 87.6507
274 6.8375 1.04872 44.2542 0.994767 88.6316
275 6.8625 1.04323 44.7723 0.998079 89.6229
276 6.8875 1.05438 45.2998 1.00022 90.6236
277 6.9125 1.04575 45.8267 0.995684 91.6271
278 6.9375 1.05165 46.3605 0.999485 92.6416
279 6.9625 1.05544 46.9 1.00083 93.6649
280 6.9875 1.04945 47.4403 1.00789 94.7028
281 7.0125 1.05048 47.9851 1.00518 95.7453
282 7.0375 1.0481 48.5325 1.00535 96.7954
283 7.0625 1.04692 49.0832 1.00626 97.854
284 7.0875 1.04334 49.6359 1.01205 98.9262
285 7.1125 1.04663 50.1942 1.01262 100.007
286 7.1375 1.04148 50.7537 1.01329 101.095
287 7.1625 1.04228 51.3176 1.01905 102.198
288 7.1875 1.03728 51.8827 1.01748 103.307
289 7.2125 1.03555 52.4508 1.02048 104.426
290 7.2375 1.03919 53.0248 1.01834 105.551
291 7.2625 1.03725 53.6017 1.01907 106.685
292 7.2875 1.03577 54.1818 1.02326 107.831
293 7.3125 1.03845 54.7674 1.02578 108.988
294 7.3375 1.03316 55.3539 1.02365 110.15
295 7.3625 1.02954 55.9425 1.02537 111.323
296 7.3875 1.02684 56.5334 1.02224 112.499
297 7.4125 1.02475 57.1272 1.02385 113.686
298 7.4375 1.02261 57.7237 1.02358 114.88
299 7.4625 1.02019 58.3228 1.02673 116.086
