# Time-averaged data for fix outH
# TimeStep Number-of-rows
# Row c_grH[1] c_grH[2] c_grH[3] c_grH[4] c_grH[5]
20000000 400
208 5.1875 0.975016 19.2435 0.993258 38.1496
209 5.2125 0.963807 19.5197 0.995174 38.7198
210 5.2375 0.958102 19.7968 0.995903 39.296
211 5.2625 0.951588 20.0747 0.997466 39.8786
212 5.2875 0.956393 20.3567 1.00009 40.4683
213 5.3125 0.95261 20.6402 1.00329 41.0655
214 5.3375 0.948378 20.9251 1.00121 41.6671
215 5.3625 0.950988 21.2135 1.00527 42.2768
216 5.3875 0.948052 21.5037 1.00513 42.8921
217 5.4125 0.950736 21.7974 1.00809 43.515
218 5.4375 0.952491 22.0944 1.00874 44.144
219 5.4625 0.954221 22.3947 1.00764 44.7782
220 5.4875 0.95291 22.6973 1.00617 45.4172
221 5.5125 0.961242 23.0053 1.00514 46.0614
222 5.5375 0.963024 23.3167 1.00904 46.7139
223 5.5625 0.968919 23.6328 1.00652 47.3708
224 5.5875 0.965108 23.9506 1.00819 48.0346
225 5.6125 0.971947 24.2735 1.00674 48.7035
226 5.6375 0.972054 24.5992 1.00805 49.3792
227 5.6625 0.971948 24.9279 1.00645 50.0598
228 5.6875 0.98 25.2622 1.0033 50.7443
229 5.7125 0.981035 25.5998 1.00186 51.4338
230 5.7375 0.979624 25.9399 1.00493 52.1315
231 5.7625 0.982537 26.2839 0.997027 52.8298
232 5.7875 0.988897 26.6332 1.00046 53.5366
233 5.8125 0.992422 26.9868 0.999102 54.2485
234 5.8375 0.996365 27.3448 0.99815 54.9659
235 5.8625 0.996392 27.706 0.999848 55.6906
236 5.8875 0.998695 28.071 0.99932 56.4212
237 5.9125 1.00254 28.4406 0.999753 57.1583
238 5.9375 1.00923 28.8158 0.99824 57.9005
239 5.9625 1.00953 29.1943 1.00043 58.6507
240 5.9875 1.01008 29.5762 1.00255 59.4087
241 6.0125 1.01196 29.9619 1.00512 60.1751
242 6.0375 1.01089 30.3505 1.00348 60.9465
243 6.0625 1.01674 30.7446 1.00173 61.7231
244 6.0875 1.01686 31.142 1.0005 62.505
245 6.1125 1.01769 31.5429 1.00392 63.2961
246 6.1375 1.01866 31.9476 1.00588 64.0953
247 6.1625 1.02004 32.3561 1.0066 64.9015
248 6.1875 1.01945 32.7677 1.00525 65.7132
249 6.2125 1.0194 33.1826 1.00546 66.5317
250 6.2375 1.02412 33.6028 1.00846 67.3592
251 6.2625 1.02334 34.026 1.00739 68.1925
252 6.2875 1.02223 34.4522 1.01023 69.0348
253 6.3125 1.02491 34.8828 1.00841 69.8823
254 6.3375 1.02221 35.3158 1.00969 70.7376
255 6.3625 1.02651 35.754 1.00956 71.5995
256 6.3875 1.02626 36.1955 1.00716 72.4662
257 6.4125 1.02634 36.6406 1.00858 73.3409
258 6.4375 1.02848 37.0901 1.00883 74.2226
259 6.4625 1.02704 37.5424 1.00867 75.1111
260 6.4875 1.02834 37.9988 1.0088 76.0066
