# Time-averaged data for fix outW
# TimeStep Number-of-rows
# Row c_grW[1] c_grW[2] c_grW[3] c_grW[4] c_grW[5] c_grW[6] c_grW[7]
20000000 400
145 3.6125 1.1986 13.9062 0.876201 5.74208 1.07538 11.7038
146 3.6375 1.17106 14.233 0.883566 5.86513 1.09065 12.0079
147 3.6625 1.14528 14.557 0.891277 5.99096 1.10422 12.32
148 3.6875 1.1216 14.8787 0.898818 6.11959 1.11724 12.6401
149 3.7125 1.09978 15.1984 0.906479 6.25109 1.12966 12.9681
150 3.7375 1.07932 15.5163 0.91411 6.38548 1.14005 13.3037
151 3.7625 1.06152 15.8333 0.922231 6.52289 1.14906 13.6464
152 3.7875 1.04599 16.1498 0.929681 6.66325 1.15656 13.996
153 3.8125 1.03241 16.4662 0.937192 6.80662 1.16293 14.3521
154 3.8375 1.0208 16.7833 0.945885 6.95323 1.16774 14.7145
155 3.8625 1.01103 17.1014 0.954533 7.10311 1.17048 15.0824
156 3.8875 1.00297 17.4211 0.961983 7.25612 1.17125 15.4554
157 3.9125 0.996224 17.7427 0.971888 7.41271 1.1698 15.8327
158 3.9375 0.9907 18.0667 0.9801 7.57263 1.16707 16.2139
159 3.9625 0.98657 18.3934 0.988744 7.73603 1.16227 16.5985
160 3.9875 0.983453 18.7232 0.997391 7.90294 1.15625 16.9858
161 4.0125 0.981029 19.0563 1.0062 8.07344 1.14802 17.3753
162 4.0375 0.97877 19.3928 1.01489 8.24757 1.13934 17.7666
163 4.0625 0.976977 19.7329 1.02266 8.42521 1.12959 18.1594
164 4.0875 0.975611 20.0767 1.03111 8.60652 1.11951 18.5535
165 4.1125 0.974426 20.4243 1.03843 8.79137 1.10897 18.9487
166 4.1375 0.972973 20.7756 1.04688 8.97999 1.09857 19.345
167 4.1625 0.971699 21.1307 1.05428 9.17225 1.08861 19.7424
168 4.1875 0.970613 21.4896 1.0611 9.36808 1.07917 20.1411
169 4.2125 0.970019 21.8527 1.0678 9.56751 1.07057 20.5414
170 4.2375 0.968456 22.2194 1.07477 9.77063 1.06295 20.9436
171 4.2625 0.967576 22.5902 1.08022 9.97719 1.05619 21.3479
172 4.2875 0.966599 22.965 1.08507 10.1871 1.05014 21.7547
173 4.3125 0.965124 23.3435 1.09015 10.4005 1.04475 22.1641
174 4.3375 0.96362 23.7259 1.0945 10.6172 1.0406 22.5766
175 4.3625 0.962537 24.1123 1.09697 10.837 1.03727 22.9925
176 4.3875 0.961348 24.5026 1.09982 11.0598 1.03405 23.4119
177 4.4125 0.959972 24.8968 1.1021 11.2856 1.03209 23.8353
178 4.4375 0.958547 25.2949 1.1045 11.5145 1.03034 24.2628
179 4.4625 0.957487 25.697 1.10529 11.7462 1.02857 24.6944
180 4.4875 0.956198 26.1031 1.10628 11.9807 1.0276 25.1304
181 4.5125 0.955467 26.5135 1.10581 12.2177 1.02648 25.5708
182 4.5375 0.954655 26.928 1.10487 12.4571 1.02553 26.0157
183 4.5625 0.954222 27.347 1.10387 12.6989 1.02444 26.465
184 4.5875 0.95389 27.7704 1.1022 12.9431 1.02359 26.9189
185 4.6125 0.953988 28.1984 1.09981 13.1893 1.02243 27.3773
186 4.6375 0.954139 28.6312 1.09786 13.4378 1.02088 27.8399
187 4.6625 0.954695 29.0689 1.09441 13.6882 1.01946 28.3068
188 4.6875 0.955704 29.5118 1.09065 13.9405 1.01795 28.7781
189 4.7125 0.956831 29.96 1.08561 14.1942 1.01598 29.2535
190 4.7375 0.958147 30.4136 1.08108 14.4496 1.01403 29.733
191 4.7625 0.959811 30.8727 1.07647 14.7066 1.01197 30.2167
192 4.7875 0.961992 31.3377 1.07085 14.9649 1.00969 30.7043
193 4.8125 0.964257 31.8087 1.06579 15.2247 1.00736 31.1959
194 4.8375 0.966449 32.2857 1.0605 15.4859 1.00465 31.6912
195 4.8625 0.969283 32.7691 1.05491 15.7484 1.00185 32.1903
196 4.8875 0.972028 33.2588 1.05002 16.0124 0.999013 32.6932
197 4.9125 0.974833 33.755 1.04329 16.2774 0.995848 33.1995
198 4.9375 0.977516 34.2576 1.03784 16.5437 0.993223 33.7097
199 4.9625 0.98056 34.7669 1.03145 16.811 0.989838 34.2233
200 4.9875 0.983481 35.2829 1.02497 17.0793 0.987011 34.7407
201 5.0125 0.986537 35.8056 1.01822 17.3486 0.984136 35.2617
202 5.0375 0.989151 36.3351 1.01229 17.619 0.980632 35.786
203 5.0625 0.992429 36.8715 1.00697 17.8906 0.978057 36.3142
204 5.0875 0.995395 37.4149 1.00125 18.1633 0.975488 36.8461
205 5.1125 0.997941 37.965 0.994865 18.437 0.972808 37.3819
206 5.1375 1.00028 38.5218 0.98847 18.7116 0.970365 37.9215
207 5.1625 1.00288 39.0856 0.98304 18.9874 0.96815 38.4652
208 5.1875 1.00523 39.6561 0.977452 19.2642 0.966043 39.013
209 5.2125 1.00742 40.2334 0.971826 19.5421 0.96443 39.5651
210 5.2375 1.00934 40.8173 0.966224 19.8211 0.962916 40.1216
211 5.2625 1.01099 41.4078 0.960072 20.1009 0.961673 40.6828
212 5.2875 1.01282 42.0051 0.95497 20.3819 0.960168 41.2484
213 5.3125 1.014 42.6086 0.949876 20.664 0.959322 41.8189
214 5.3375 1.01534 43.2187 0.944067 20.9471 0.9592 42.3947
215 5.3625 1.01626 43.8351 0.939098 21.2313 0.959063 42.9758
216 5.3875 1.01677 44.4575 0.934285 21.5168 0.958748 43.5621
